Z,N,BE
34,58,762.68
35,55,763.03674
43,47,763.50231
37,51,763.93812
39,49,764.063432
34,59,764.739
36,53,766.718535
41,48,766.896268
35,56,768.214993
44,47,768.306448
38,50,768.46836
34,60,768.92
45,47,770.35464
34,61,770.64
37,52,771.112821
35,57,771.411812
40,49,771.928951
36,54,773.21331
46,47,773.667
42,48,773.73252
47,47,774.372
49,47,774.432
38,51,774.827058
39,50,775.544042
48,47,775.865
35,58,776.140614
43,48,776.835605
37,53,776.83608
41,49,777.00384
36,55,777.299341
35,59,778.696
39,51,782.40105
44,48,782.439116
38,52,782.63748
36,56,783.166008
35,60,783.18
37,54,783.288051
42,49,783.840148
40,50,783.89721
45,48,784.438725
35,61,785.664
36,57,786.604044
43,49,787.845956
37,55,788.386824
38,53,788.412625
46,48,788.818108
41,50,789.051627
35,62,789.58
47,48,789.64
39,52,790.329631
40,51,791.091574
49,48,791.811
35,63,791.84
36,58,791.887114
48,48,792.864
44,49,793.425966
37,56,794.30556
36,59,794.769525
38,54,795.699352
45,49,796.405788
42,50,796.51116
39,53,796.866188
41,51,796.938224
37,57,798.319816
40,52,799.726376
36,60,799.761696
43,50,800.597661
46,49,800.7531
38,55,800.989191
36,61,802.176808
47,49,802.58784
37,58,803.71976
39,54,804.348165
42,51,804.581037
41,52,805.769112
48,49,805.779
40,53,806.46066
49,49,806.54
44,50,806.864134
36,62,807.128
37,59,807.254016
38,56,807.820396
50,49,807.84
43,51,809.221184
36,63,809.622
45,50,809.91015
39,55,810.543764
38,57,812.165545
37,60,812.490042
41,53,812.996694
36,64,814
42,52,814.259302
40,54,814.679294
46,50,815.04192
44,51,815.80965
36,65,816.181
37,61,816.411442
47,50,816.973285
39,56,817.472435
38,58,818.04144
43,52,819.15555
45,51,819.328608
48,50,821.07291
40,55,821.14124
37,62,821.2347
41,54,821.48514
42,53,821.6284
38,59,821.770032
49,50,822.096
39,57,822.670848
37,63,824.432
46,51,824.73571
50,50,825.2974
44,52,826.503552
43,53,827.027136
47,51,827.285228
38,60,827.68301
41,55,828.373056
39,58,828.527634
40,56,828.991392
37,64,829.109
45,52,830.309718
42,54,830.782752
48,51,831.438927
38,61,831.852648
37,65,832.014
39,59,832.772346
49,51,833.1097
40,57,834.566563
44,53,834.615063
37,66,836.051
46,52,836.322102
50,51,836.391302
41,56,836.447296
43,54,836.501325
38,62,837.2234
42,55,837.603924
45,53,838.958694
47,52,839.002626
39,60,839.198745
38,63,840.79874
40,58,840.981904
41,57,842.437498
48,52,843.7737
43,55,843.780392
39,61,843.9476
44,54,844.790674
46,53,845.25507
40,59,845.387136
49,52,845.471
38,64,845.70444
42,56,846.246464
51,52,847.587
47,53,848.4994
38,65,849.029
50,52,849.09186
41,58,849.319515
45,54,849.436137
39,62,849.752491
42,57,852.171903
40,60,852.2153
44,55,852.262488
43,56,852.74739
48,53,853.486865
38,66,853.84
39,63,853.936044
41,59,854.8529
49,53,855.634242
46,54,856.3566
38,67,856.38
40,61,857.075092
45,55,857.5172
51,53,858.690976
50,53,859.200971
39,64,859.291714
43,57,859.5118
52,53,859.61778
47,54,859.767146
42,58,860.4662
38,68,860.614
44,56,861.9359
41,60,862.018335
38,69,862.848
39,65,862.992
40,62,863.56821
46,55,864.647264
48,54,865.381362
42,59,865.864415
45,56,867.409816
41,61,867.502656
49,54,867.643263
40,63,867.867185
43,58,867.906736
39,66,868.2471
44,57,868.737865
47,55,868.750728
39,67,871.108
51,54,871.60416
53,54,871.622
50,54,871.926744
52,54,873.097302
40,64,873.847208
42,60,873.9819
43,59,874.2063
41,62,874.298093
48,55,874.444662
45,57,874.852062
46,56,875.18958
39,68,875.474
49,55,877.264648
40,65,877.659195
44,58,877.957554
39,69,878.472
41,63,879.159736
47,56,879.378053
42,61,879.447784
50,55,881.70894
51,55,882.133272
43,60,882.308609
39,70,882.464
46,57,882.814957
40,66,882.8157
53,55,882.887472
52,55,883.488193
54,55,883.696354
45,58,884.171776
44,59,884.189595
41,64,885.32766
48,56,885.832688
40,67,886.716811
42,62,886.90836
47,57,887.763136
43,61,888.279496
49,56,888.79392
41,65,889.686726
45,59,891.170696
40,68,891.756
42,63,891.966915
46,58,892.824192
44,60,893.089496
50,56,893.796028
48,57,894.26946
51,56,894.384538
40,69,894.672
41,66,895.278523
55,56,895.659
53,56,895.981744
43,62,896.137515
52,56,896.801868
54,56,897.5208
47,58,897.78885
49,57,897.83272
42,64,898.835586
44,61,898.9995
41,67,899.17182
40,70,899.47
46,59,899.91825
45,60,900.13392
43,63,901.694936
40,71,902.208
50,57,903.025858
42,65,903.32396
51,57,904.247928
41,68,904.38717
48,58,905.139088
47,59,905.731734
40,72,906.528
45,61,906.716686
52,57,906.80697
53,57,906.84473
55,57,907.24872
44,62,907.45964
54,57,908.065026
56,57,908.068
41,69,908.0786
