Z,A,BE
36,69,561.177
26,70,580.58
27,70,589.51207
28,70,602.23639
29,70,605.28027
30,70,611.08642
31,70,609.64953
32,70,610.52019
33,70,603.51788
34,70,600.43865
35,70,589.05
36,70,578.48
26,71,583.691
27,71,595.81354
28,71,606.361584
29,71,613.086562
30,71,616.919994
31,71,618.95102
32,71,617.936146
33,71,615.140379
34,71,609.580085
35,71,602.744702
36,71,591.822346
37,71,576.449
26,72,589.104
27,72,599.328
28,72,613.169424
29,72,618.2298
30,72,625.795848
31,72,625.471488
32,72,628.68564
33,72,623.547216
34,72,622.429488
35,72,612.76788
36,72,606.911256
37,72,590.328
27,73,605.097
28,73,617.142
29,73,625.504661
30,73,631.146101
31,73,634.652729
32,73,635.468577
33,73,634.345399
34,73,630.824025
35,73,625.452977
36,73,617.593432
37,73,606.338
38,73,591.154
27,74,608.428
28,74,623.746
29,74,630.595588
30,74,639.515918
31,74,641.074284
32,74,645.6648
33,74,642.32
34,74,642.890392
35,74,635.201422
36,74,631.444516
37,74,620.247724
38,74,608.28
27,75,613.725
28,75,627.375
29,75,636.780525
30,75,644.347425
31,75,649.5606
32,75,652.17015
33,75,652.56375
34,75,650.918025
35,75,647.1057
36,75,641.507925
37,75,633.623625
38,75,622.241325
28,76,633.156
29,76,641.708052
30,76,652.086308
31,76,655.463976
32,76,661.598088
33,76,659.892192
34,76,662.072328
35,76,656.327108
36,76,654.26994
37,76,644.9531
38,76,637.934804
39,76,621.604
28,77,636.328
29,77,647.416
30,77,656.743395
31,77,663.23103
32,77,667.670388
33,77,669.590537
34,77,669.491207
35,77,667.344216
36,77,663.496372
37,77,657.369097
38,77,649.566302
39,77,637.868
28,78,641.94
29,78,651.612
30,78,663.434928
31,78,669.01653
32,78,676.38987
33,78,676.562718
34,78,679.989024
35,78,675.63288
36,78,675.577968
37,78,667.552158
38,78,663.007488
39,78,651.612
40,78,639.99
29,79,657.28
30,79,667.55
31,79,675.89082
32,79,682.087501
33,79,685.453138
34,79,686.951847
35,79,686.3204
36,79,683.912322
37,79,679.490613
38,79,673.381464
39,79,665.479094
40,79,653.725
29,80,659.44
30,80,674.07976
31,80,680.58776
32,80,690.18544
33,80,692.0472
34,80,696.86552
35,80,694.21272
36,80,695.43336
37,80,688.93136
38,80,686.2844
39,80,676.4116
40,80,669.92856
30,81,676.431
31,81,687.507264
32,81,695.044881
33,81,700.492536
34,81,703.566405
35,81,704.369358
36,81,703.306233
37,81,700.28469
38,81,695.575188
39,81,689.282541
40,81,680.971293
41,81,669.141
30,82,680.846
31,82,690.686
32,82,702.436928
33,82,706.35456
34,82,712.842236
35,82,711.962376
36,82,714.273054
37,82,709.089342
38,82,708.127236
39,82,699.52888
40,82,694.786
41,82,682.732
30,83,682.758
31,83,695.042
32,83,705.749
33,83,713.982517
34,83,718.660231
35,83,721.546141
36,83,721.736543
37,83,720.047327
38,83,716.985623
39,83,711.734379
40,83,705.084004
41,83,696.801683
42,83,684.833
31,84,697.872
32,84,711.228
33,84,718.284
34,84,727.342644
35,84,728.407848
36,84,732.257148
37,84,728.793828
38,84,728.905296
39,84,721.636944
40,84,718.2
41,84,707.784
42,84,700.896
31,85,701.845
32,85,714.085
33,85,723.605
34,85,731.89046
35,85,737.290085
36,85,739.37777
37,85,739.282485
38,85,737.43535
39,85,733.39258
40,85,727.91722
41,85,721.1349
42,85,712.3
43,85,700.06
31,86,704.254
32,86,718.96
33,86,727.474
34,86,738.074016
35,86,742.3907
36,86,749.234322
37,86,747.933486
38,86,748.927646
39,86,742.905324
40,86,740.643782
41,86,731.883392
42,86,725.831056
43,86,713.714
32,87,721.404
33,87,732.366
34,87,742.186734
35,87,748.67937
36,87,754.749534
37,87,757.855521
38,87,757.355793
39,87,754.711776
40,87,750.258855
41,87,744.311535
42,87,737.040945
43,87,727.668
44,87,715.14
32,88,725.384
33,88,735.768
34,88,747.55428
35,88,753.625928
36,88,761.803592
37,88,763.93812
38,88,768.468448
39,88,764.06352
40,88,762.605184
41,88,754.272816
42,88,750.117456
43,88,739.376
44,88,731.544
32,89,727.041
33,89,739.679
34,89,750.982
35,89,759.53668
36,89,766.909351
37,89,771.11291
38,89,774.827236
39,89,775.537456
40,89,771.922276
41,89,766.921366
42,89,760.49254
43,89,752.584
44,89,743.417
45,89,730.779
33,90,742.05
34,90,755.73
35,90,763.65621
36,90,773.22393
37,90,776.83347
38,90,782.631
39,90,782.39448
40,90,783.8919
41,90,776.99862
42,90,773.72721
43,90,763.98426
44,90,757.26
45,90,744.39
33,91,745.563
34,91,758.212
35,91,768.61603
36,91,777.635677
37,91,783.288324
38,91,788.405982
39,91,790.323352
40,91,791.086387
41,91,789.046076
42,91,783.835507
43,91,776.833148
44,91,768.768
45,91,758.394
46,91,745.927
33,92,747.684
34,92,762.588
35,92,771.759204
36,92,783.18174
37,92,788.386364
38,92,795.69972
39,92,796.862968
40,92,799.721224
41,92,796.933256
42,92,796.507664
43,92,787.85488
44,92,782.552
45,92,770.684
46,92,762.036
34,93,764.739
35,93,776.271
36,93,786.485562
37,93,794.303235
38,93,800.987889
39,93,804.344166
40,93,806.455638
41,93,805.764555
42,93,804.57741
43,93,800.594127
44,93,793.474791
45,93,784.641
46,93,774.318
47,93,760.647
34,94,768.92
35,94,779.166
36,94,791.668
37,94,798.310322
38,94,807.815038
39,94,810.540756
40,94,814.676756
41,94,812.992088
42,94,814.254978
43,94,809.21686
44,94,806.848436
45,94,796.462
46,94,789.036
47,94,775.218
35,95,783.275
36,95,794.675
37,95,803.682235
38,95,812.16279
39,95,817.47063
40,95,821.139055
41,95,821.48077
42,95,821.62403
43,95,819.151085
44,95,815.80167
45,95,809.90939
46,95,800.945
47,95,790.115
48,95,775.96
35,96,786.048
36,96,799.68
37,96,807.124224
38,96,818.056224
39,96,822.6816
40,96,828.995328
41,96,828.37392
42,96,830.778336
43,96,827.022816
44,96,826.495296
45,96,819.320256
46,96,815.087904
47,96,802.656
48,96,793.44
35,97,790.162
36,97,802.675
37,97,812.327276
38,97,821.976739
39,97,828.663919
40,97,834.57054
41,97,836.447199
42,97,837.599656
43,97,836.49696
44,97,834.606721
45,97,830.301376
46,97,824.729017
47,97,816.966689
48,97,805.973
49,97,791.617
36,98,807.618
37,98,816.263854
38,98,827.905568
39,98,832.945022
40,98,840.9821
41,98,842.441418
42,98,846.24225
43,98,843.775982
44,98,844.790282
45,98,838.958302
46,98,836.30113
47,98,827.279446
48,98,821.06703
49,98,806.54
36,99,810.414
37,99,820.992447
38,99,831.516939
39,99,838.74978
40,99,845.535042
41,99,849.3111
42,99,852.167646
43,99,852.742638
44,99,852.254073
45,99,849.429207
46,99,845.260218
47,99,839.047869
48,99,831.402
49,99,821.997
50,99,807.147
36,100,815.2
37,100,824.9
38,100,837.6218
39,100,843.9145
40,100,852.4422
41,100,854.9948
42,100,860.4575
43,100,859.507
44,100,861.9274
45,100,857.5103
