Z,N,BE
36,59,794.675
37,58,803.682235
38,57,812.16279
39,56,817.47063
40,55,821.139055
41,54,821.48077
42,53,821.62403
43,52,819.151085
44,51,815.80167
45,50,809.90939
46,49,800.945
47,48,790.115
48,47,775.96
35,61,786.048
36,60,799.68
37,59,807.124224
38,58,818.056224
39,57,822.6816
40,56,828.995328
41,55,828.37392
42,54,830.778336
43,53,827.022816
44,52,826.495296
45,51,819.320256
46,50,815.087904
47,49,802.656
48,48,793.44
35,62,790.162
36,61,802.675
37,60,812.327276
38,59,821.976739
39,58,828.663919
40,57,834.57054
41,56,836.447199
42,55,837.599656
43,54,836.49696
44,53,834.606721
45,52,830.301376
46,51,824.729017
47,50,816.966689
48,49,805.973
49,48,791.617
36,62,807.618
37,61,816.263854
38,60,827.905568
39,59,832.945022
40,58,840.9821
41,57,842.441418
42,56,846.24225
43,55,843.775982
44,54,844.790282
45,53,838.958302
46,52,836.30113
47,51,827.279446
48,50,821.06703
49,49,806.54
36,63,810.414
37,62,820.992447
38,61,831.516939
39,60,838.74978
40,59,845.535042
41,58,849.3111
42,57,852.167646
43,56,852.742638
44,55,852.254073
45,54,849.429207
46,53,845.260218
47,52,839.047869
48,51,831.402
49,50,821.997
50,49,807.147
36,64,815.2
37,63,824.9
38,62,837.6218
39,61,843.9145
40,60,852.4422
41,59,854.9948
42,58,860.4575
43,57,859.507
44,56,861.9274
45,55,857.5103
46,54,856.37
47,53,848.5098
48,52,843.8289
49,51,832.9666
50,50,824.7942
37,64,829.853471
38,63,840.881055
39,62,849.603718
40,61,857.366376
41,60,862.069037
42,59,865.855729
43,58,867.897949
44,57,868.729482
45,56,867.405473
46,55,864.643123
47,54,859.656955
48,53,853.398086
49,52,845.471
50,51,835.674
37,65,832.626
38,64,846.622644
39,63,854.655348
40,62,863.722944
41,61,867.545598
42,60,873.97323
43,59,874.199058
44,58,877.949088
45,57,874.8438
46,56,875.21151
47,55,868.768986
48,54,865.39962
49,53,855.648828
50,52,849.086454
38,65,849.132
39,64,859.741
40,63,868.423797
